epoch,osobnik,score,time
1,0,tensor(4.9159),242.53351447200112
2,0,tensor(4.8726),232.08171749500616
3,0,tensor(4.8701),236.4791879409895
4,0,tensor(4.8634),255.88295681099407
5,0,tensor(4.8560),241.3993545400008
6,0,tensor(4.8541),228.7459969210031
7,0,tensor(4.8614),235.37201276900305
8,0,tensor(4.8417),237.50150542099436
9,0,tensor(4.8353),232.6969985649921
10,0,tensor(4.8292),233.6217890370026
11,0,tensor(4.8216),235.3675520629913
12,0,tensor(4.8184),237.44716671900824
13,0,tensor(4.8118),234.89103256999806
14,0,tensor(4.8093),232.98321746400325
15,0,tensor(4.8232),232.80129617400235
16,0,tensor(4.8069),242.15751960501075
17,0,tensor(4.8134),253.83488717999717
18,0,tensor(4.8213),248.60677954899438
19,0,tensor(4.8053),238.09953626600327
20,0,tensor(4.8121),234.9080596549902
21,0,tensor(4.8068),241.19868837000104
22,0,tensor(4.8189),232.76078796699585
23,0,tensor(4.8121),231.94050462900486
24,0,tensor(4.8058),236.8252311039978
25,0,tensor(4.7986),256.91010486699815
26,0,tensor(4.7992),258.56290171999717
27,0,tensor(4.7897),240.01465831400128
28,0,tensor(4.7946),256.029128811002
29,0,tensor(4.8022),270.468270664991
30,0,tensor(4.7918),257.37812292200397
31,0,tensor(4.7831),247.13751699200657
32,0,tensor(4.7889),237.37324916300713
33,0,tensor(4.7926),237.4974580410053
34,0,tensor(4.7897),245.16831392998574
35,0,tensor(4.8015),233.35796825299622
36,0,tensor(4.7827),236.6920605530031
37,0,tensor(4.7914),236.399422573013
38,0,tensor(4.7882),237.27236506997724
39,0,tensor(4.7831),246.3852516170009
40,0,tensor(4.7845),251.12232543199207
41,0,tensor(4.7878),252.40014895499917
42,0,tensor(4.7782),241.83937465399504
43,0,tensor(4.7776),247.58671041199705
44,0,tensor(4.7823),254.05712323597982
45,0,tensor(4.7967),233.86681671699625
46,0,tensor(4.7907),235.73775549200946
47,0,tensor(4.7809),237.01723879700876
48,0,tensor(4.7760),238.12389100398286
49,0,tensor(4.7818),244.87889950501267
50,0,tensor(4.7834),232.50657314198907
51,0,tensor(4.7799),233.61175687800278
52,0,tensor(4.7841),235.2191432660038
53,0,tensor(4.7750),264.56915153498994
54,0,tensor(4.7936),266.1114626489871
55,0,tensor(4.7744),250.00608248999924
56,0,tensor(4.7778),255.3517600930063
57,0,tensor(4.7737),247.0318366200081
58,0,tensor(4.7625),252.1316060560057
59,0,tensor(4.7900),272.8043892230198
60,0,tensor(4.7729),256.74729876298807
61,0,tensor(4.7652),253.0536088400113
62,0,tensor(4.7706),255.9947646560031
63,0,tensor(4.7745),249.64662044899887
64,0,tensor(4.7689),243.20222242898308
65,0,tensor(4.7693),250.3652552929998
66,0,tensor(4.7683),246.54585366501124
67,0,tensor(4.7638),243.97850164599367
68,0,tensor(4.7678),268.0352640899946
69,0,tensor(4.7835),245.55305627701455
70,0,tensor(4.7769),235.5987913979916
71,0,tensor(4.7642),233.93818942800863
72,0,tensor(4.7638),244.223566183995
73,0,tensor(4.7784),245.5454633620102
74,0,tensor(4.7737),230.1740371689957
75,0,tensor(4.7658),232.93131284997799
76,0,tensor(4.7599),245.70896894700127
77,0,tensor(4.7762),241.16978859799565
78,0,tensor(4.7750),232.85785913502332
79,0,tensor(4.7615),251.59194976399885
80,0,tensor(4.7595),249.91561132698553
81,0,tensor(4.7671),236.2102136789763
82,0,tensor(4.7742),245.46390530199278
83,0,tensor(4.7697),236.84290181999677
84,0,tensor(4.7584),235.1500526739983
85,0,tensor(4.7698),233.06808459101012
86,0,tensor(4.7609),233.7708553590055
87,0,tensor(4.7662),234.33331055301824
88,0,tensor(4.7630),245.36127948499052
89,0,tensor(4.7583),246.50148159000673
90,0,tensor(4.7682),247.74993478800752
91,0,tensor(4.7622),258.4723505949951
92,0,tensor(4.7573),252.92610265899566
93,0,tensor(4.7536),257.2646450159955
94,0,tensor(4.7646),254.9114784010162
95,0,tensor(4.7530),245.58033473501564
96,0,tensor(4.7546),248.48190824798075
97,0,tensor(4.7598),250.69752330801566
98,0,tensor(4.7581),248.91390769500867
99,0,tensor(4.7714),254.3574021650129
100,0,tensor(4.7619),253.96466993101058
